Temática,Candidato,Propuesta
Rol del Estado / Economía,Jeannette Jara,"Estado regulador, articulador e inversionista en algunos sectores; eje en «Un Estado que le cumple a las personas»."
Rol del Estado / Economía,José Antonio Kast,"Énfasis en libre mercado, orden y estabilidad económica, con menor intervención estatal."
Rol del Estado / Economía,Johannes Kaiser,"Estado austero, transparente y facilitador; impuestos bajos y mínima burocracia."
Rol del Estado / Economía,Evelyn Matthei,Estado que acompaña y regula; reducción de ministerios y eficiencia del gasto público.
Seguridad / Orden Público,Jeannette Jara,"Seguridad, justicia y defensa como eje central."
Seguridad / Orden Público,José Antonio Kast,«Plan Implacable» contra crimen organizado; énfasis en orden.
Seguridad / Orden Público,Johannes Kaiser,Enfoque institucional liberal; cumplimiento estricto de la ley.
Seguridad / Orden Público,Evelyn Matthei,«Toda la fuerza del Estado al resguardo de la seguridad».
Trabajo / Empleo / Protección Social,Jeannette Jara,"Crecimiento inclusivo, empleo de calidad y fortalecimiento de protección social."
Trabajo / Empleo / Protección Social,José Antonio Kast,Crecimiento económico como base para creación de empleo.
Trabajo / Empleo / Protección Social,Johannes Kaiser,Flexibilización del mercado laboral y uso de vouchers.
Trabajo / Empleo / Protección Social,Evelyn Matthei,Corresponsabilidad Estado–privados; eficiencia del gasto social.
Educación / Salud / Bienestar,Jeannette Jara,Fortalecimiento de educación y salud públicas.
Educación / Salud / Bienestar,José Antonio Kast,Menor desarrollo programático público en este eje.
Educación / Salud / Bienestar,Johannes Kaiser,Modelo liberal con vouchers y énfasis privado.
Educación / Salud / Bienestar,Evelyn Matthei,"Estado articulador, innovación público–privada."
Minería / Energía,Jeannette Jara,Colaboración estatal–privada en litio y minería.
Minería / Energía,José Antonio Kast,Impulso a inversión en recursos naturales.
Minería / Energía,Johannes Kaiser,Privatización parcial/total de CODELCO; Fondo Soberano Minero.
Minería / Energía,Evelyn Matthei,Estrategia Nacional de Minerales Críticos con inversión privada.
